,id,date,text,agency,clean_text,category
125,19558023,2023-12-16 12:06:37.694842,"сеул, 16 декабря. /тасс/. делегация приморского края во главе с губернатором олегом кожемяко 15 декабря покинула столицу кндр. об этом сообщило  центральное телеграфное агентство кореи  (цтак). делегация прибыла в пхеньян 11 декабря. в ноябре кожемяко  рассказал , что планировал до конца года посетить кндр, чтобы обсудить сотрудничество в туризме, торговле и сельском хозяйстве. 12 декабря губернатор провел переговоры с министром внешнеэкономических дел кндр юн чжон хо об укреплении экономического сотрудничества. 14 декабря кожемяко встретился с председателем кабинета министров кндр ким док хуном. помимо этого, губернатор в ходе визита в кндр  посетил  горнолыжный курорт масикрён, заводы по производству кафеля и переработке фруктов, центр русского языка пхеньянского университета иностранных языков, православную церковь в районе чонбэк в пхеньяне. пресс-служба правительства приморского края сообщала, что кндр разработала ряд туристических предложений для россиян, включая пляжный отдых и катание на горнолыжном курорте. этой осенью активизировались двусторонние обмены между рф и кндр. в сентябре лидер кндр ким чен ын посетил россию. в октябре состоялась поездка главы мид рф сергея лаврова в кндр. 15 ноября в пхеньяне прошло десятое заседание межправительственной комиссии кндр и рф по торгово-экономическому и научно-техническому сотрудничеству. российскую сторону на переговорах возглавлял министр природных ресурсов и экологии александр козлов. в октябре 2023 года делегация минспорта кндр во главе с министром ким иль гуком приняла участие в xi международном спортивном форуме ""россия - спортивная держава"" в перми. в ноябре делегация кндр во главе с министром культуры сын чон гю отправилась в россию для участия в ix санкт-петербургском международном культурном форуме.  ",tass, делегация приморского края во главе с губернатором олегом кожемяко  декабря покинула столицу кндр об этом сообщило  центральное телеграфное агентство кореи  цтак делегация прибыла в пхеньян  декабря в ноябре кожемяко  рассказал  что планировал до конца года посетить кндр чтобы обсудить сотрудничество в туризме торговле и сельском хозяйстве  декабря губернатор провел переговоры с министром внешнеэкономических дел кндр юн чжон хо об укреплении экономического сотрудничества  декабря кожемяко встретился с председателем кабинета министров кндр ким док хуном помимо этого губернатор в ходе визита в кндр  посетил  горнолыжный курорт масикрён заводы по производству кафеля и переработке фруктов центр русского языка пхеньянского университета иностранных языков православную церковь в районе чонбэк в пхеньяне прессслужба правительства приморского края сообщала что кндр разработала ряд туристических предложений для россиян включая пляжный отдых и катание на горнолыжном курорте этой осенью активизировались двусторонние обмены между рф и кндр в сентябре лидер кндр ким чен ын посетил россию в октябре состоялась поездка главы мид рф сергея лаврова в кндр  ноября в пхеньяне прошло десятое заседание межправительственной комиссии кндр и рф по торговоэкономическому и научнотехническому сотрудничеству российскую сторону на переговорах возглавлял министр природных ресурсов и экологии александр козлов в октябре  года делегация минспорта кндр во главе с министром ким иль гуком приняла участие в xi международном спортивном форуме россия  спортивная держава в перми в ноябре делегация кндр во главе с министром культуры сын чон гю отправилась в россию для участия в ix санктпетербургском международном культурном форуме  ,Ответственное потребление
143,19544165,2023-12-15 02:00:38.940107,"сеул, 15 декабря. /тасс/. губернатор приморского края олег кожемяко в ходе визита в кндр посетил горнолыжный курорт масикрён, заводы по производству кафеля и переработке фруктов. об этом сообщило  центральное телеграфное агентство кореи (цтак) . ""членам делегации, посетившим завод кафельных изделий ""чхоллима"", рассказали об автоматизации и информатизации всех производственных процессов, о том, что безупречно реализуется система комплексного производства с использованием компьютеров"", - информировало агентство. отмечается, что делегация приморья посетила ряд мест в пхеньяне и за его пределами. делегация посетила центр русского языка пхеньянского университета иностранных языков, православную церковь в районе чонбэк в пхеньяне. приморцы также побывали на заводе по комплексной переработке фруктов ""тэдонган"". делегация приморского края во главе с губернатором прибыла в пхеньян 11 декабря. в ноябре кожемяко  сообщал , что планировал до конца года посетить кндр, чтобы обсудить сотрудничество в туризме, торговле и сельском хозяйстве. 12 декабря губернатор провел переговоры с министром внешнеэкономических дел кндр юн чжон хо об укреплении экономического сотрудничества. этой осенью активизировались двусторонние обмены между рф и кндр. в сентябре лидер кндр ким чен ын  посетил  россию. губернатор приморья встречал главу народной республики на приграничной станции хасан. в октябре  состоялась  поездка главы мид рф сергея лаврова в кндр. 15 ноября в пхеньяне  прошло  10-е заседание межправительственной комиссии кндр и рф по торгово-экономическому и научно-техническому сотрудничеству. российскую сторону на переговорах возглавлял министр природных ресурсов и экологии александр козлов. в октябре 2023 года делегация минспорта кндр во главе с министром ким иль гуком приняла участие в xi международном спортивном форуме ""россия - спортивная держава"" в перми. в ноябре делегация кндр во главе с министром культуры сын чон гю отправилась в россию для участия в ix санкт-петербургском международном культурном форуме.  ",tass, губернатор приморского края олег кожемяко в ходе визита в кндр посетил горнолыжный курорт масикрён заводы по производству кафеля и переработке фруктов об этом сообщило  центральное телеграфное агентство кореи цтак  членам делегации посетившим завод кафельных изделий чхоллима рассказали об автоматизации и информатизации всех производственных процессов о том что безупречно реализуется система комплексного производства с использованием компьютеров  информировало агентство отмечается что делегация приморья посетила ряд мест в пхеньяне и за его пределами делегация посетила центр русского языка пхеньянского университета иностранных языков православную церковь в районе чонбэк в пхеньяне приморцы также побывали на заводе по комплексной переработке фруктов тэдонган делегация приморского края во главе с губернатором прибыла в пхеньян  декабря в ноябре кожемяко  сообщал  что планировал до конца года посетить кндр чтобы обсудить сотрудничество в туризме торговле и сельском хозяйстве  декабря губернатор провел переговоры с министром внешнеэкономических дел кндр юн чжон хо об укреплении экономического сотрудничества этой осенью активизировались двусторонние обмены между рф и кндр в сентябре лидер кндр ким чен ын  посетил  россию губернатор приморья встречал главу народной республики на приграничной станции хасан в октябре  состоялась  поездка главы мид рф сергея лаврова в кндр  ноября в пхеньяне  прошло  е заседание межправительственной комиссии кндр и рф по торговоэкономическому и научнотехническому сотрудничеству российскую сторону на переговорах возглавлял министр природных ресурсов и экологии александр козлов в октябре  года делегация минспорта кндр во главе с министром ким иль гуком приняла участие в xi международном спортивном форуме россия  спортивная держава в перми в ноябре делегация кндр во главе с министром культуры сын чон гю отправилась в россию для участия в ix санктпетербургском международном культурном форуме  ,Ответственное потребление
154,19532979,2023-12-14 08:30:00.048180,"тасс-досье. 14 декабря 2023 года состоится эфир телепрограммы ""итоги года с владимиром путиным"" в формате совмещенной прямой линии и большой пресс-конференции главы государства. президент рф в прямом эфире подведет итоги 2023 года и ответит на вопросы журналистов и жителей россии. тасс подготовил материал о продолжительности, числе вопросов и основных темах прямых линий. впервые такой формат общения президента с гражданами на общенациональных теле- и радиоканалах был организован 24 декабря 2001 года. в дальнейшем прямые линии проходили ежегодно, за исключением 2004, 2012, 2020 и 2022 года. 2001 год первая прямая линия состоялась 24 декабря 2001 года. трансляция велась в телеэфире каналов орт и ртр, а также на радио ""маяк"". всего поступило более 400 тыс. вопросов. теледиалог продолжался 2 часа 20 минут, за это время президент рф ответил на 47 вопросов. на прямой видеосвязи с кремлем находились 10 городов и регионов страны - владивосток, екатеринбург, казань, калининград, краснодарский край, москва, мурманск, новосибирск, ростов-на-дону, санкт-петербург. чаще всего поднимались проблемы экономики и предпринимательства, бюрократии, образования, науки и культуры. 2002 год 19 декабря 2002 года прямые трансляции на первом канале, телеканале ""россия"", в эфире радиостанций ""маяк"" и ""радио россии"" велись из башкирии, владикавказа, дубны (московская область), калининграда, краснодарского края, нижегородской области, ставрополья, хабаровска, челябинска, а также из столицы таджикистана душанбе. было получено более 1,4 млн вопросов. путин за 2 часа 40 минут ответил на 51 из них. в основном граждан интересовали проблемы социального обеспечения, в частности реформа жилищно-коммунального хозяйства. 2003 год 18 декабря 2003 года в ходе прямой линии путин ответил на 69 вопросов, что заняло 2 часа 50 минут. программа шла в прямом эфире первого канала, телеканала ""россия"", радиостанций ""маяк"" и ""радио россии"". за время подготовки к эфиру поступило более 1,5 млн вопросов. трансляция велась из 11 населенных пунктов, среди которых были города выборг (ленинградская область), красноярск, мичуринск (тамбовская область), нижний новгород, сургут (ханты-мансийский автономный округ) и другие, а также с территории российской авиабазы в городе канте (киргизия). 2003 год был предвыборным, и самым популярным стал вопрос о возможном выдвижении путина на новый президентский срок. на втором месте по популярности были вопросы, связанные с социальной защитой населения. 2005 год 27 сентября 2005 года общение президента рф с россиянами транслировалось в прямом эфире телеканала ""россия"", первого канала, радиостанций ""маяк"" и ""радио россии"". в общей сложности во время подготовки к прямой линии поступило 1,1 млн вопросов по телефону и 50 тыс. через интернет, а также около 100 тыс. в виде смс-сообщений (принимались впервые). за 2 часа 53 минуты путин успел ответить на 60 вопросов. передвижные телестанции были размещены в волгограде, селе головчино (белгородская область), грозном, городе энгельсе (саратовская область), южно-сахалинске, а также в риге (латвия) и других. подавляющее большинство обращений касались экономических проблем и социальной сферы. 2006 год 25 октября 2006 года глава государства в пятый раз общался с гражданами страны в прямом эфире первого канала, каналов ""россия"", ""вести-24"", радиостанций ""маяк"" и ""радио россии"". на прямую линию поступило 2 млн 334 тыс. вопросов. теледиалог продолжался 2 часа 54 минуты, и за это время путин ответил на 55 вопросов. телекамеры были установлены в 10 населенных пунктах, в том числе в городах балтийске (калининградская область), кондопоге (карелия), набережных челнах (татарстан), находке (приморский край), севастополе и других. основными темами беседы стали социальная политика, нацпроекты, межэтнические отношения, экология и внешняя политика. 2007 год 18 октября 2007 года прямую линию транслировали первый канал, телеканалы ""россия"", ""вести-24"" и радиостанции ""радио россии"" и ""маяк"". в ходе программы продолжительностью 3 часа 6 минут путин ответил на 67 из поступивших 2,5 млн вопросов. телекамеры были установлены в 12 населенных пунктах, в числе которых были селе ботлих (дагестан), владивосток, екатеринбург, новосибирск, плесецк (архангельская область), селе подколодновка (воронежская область), а также городе актау (казахстан) и других. большинство вопросов касались проблем жилищно-коммунального комплекса и социальной защиты населения. 2008 год 4 декабря 2008 года состоялся седьмой прямой эфир с путиным (в качестве премьер-министра) на телеканалах ""россия"" и ""вести-24"" и на радиостанциях ""маяк"" и ""радио россии"". программа носила название ""разговор с владимиром путиным"". в ходе подготовки к эфиру главе кабинета министров было задано 2,2 млн вопросов. большинство из них вновь касались жилищного хозяйства и социальной политики правительства. эфир длился более трех часов, путин ответил на 72 вопроса. во время передачи проходили прямые включения из шести населенных пунктов, среди которых были города нальчик, саратов, северодвинск, хабаровск и другие. 2009 год 3 декабря 2009 года в эфире телеканалов ""россия"", ""вести-24"", радиостанций ""маяк"" и ""радио россии"" прошла специальная программа ""разговор с путиным. продолжение"". было задано 2,27 млн вопросов. за четыре часа премьер успел ответить на 80 из них. прямые включения были организованы из восьми городов россии, в том числе из городов комсомольск-на-амуре (хабаровский край), пикалево (ленинградская область), тольятти (самарская область) и других. больше всего обращений было связано с проблемами социальной защиты населения. за несколько дней до эфира, 27 ноября 2009 года, в поезде ""невский экспресс"" был совершен теракт, и путин посвятил часть своего выступления проблеме противодействия терроризму. 2010 год девятый прямой эфир состоялся 16 декабря 2010 года. трансляцию вели телеканалы ""россия"", ""россия-24"", радиостанции ""маяк"", ""вести fm"" и ""радио россии"". на прямую линию поступило 2,06 млн обращений в виде телефонных звонков, смс и писем на сайт программы. путин общался в прямом эфире 4 часа 26 минут. во время разговора премьер успел ответить на 88 вопросов. в ходе передачи было осуществлено семь включений из различных населенных пунктов россии, среди которых были астрахань, село иватино (владимирская область), город новокузнецк (кемеровская область), чебоксары и другие. наибольшее число вопросов было посвящено жилищным и иным социальным проблемам. 2011 год 15 декабря 2011 года состоялся десятый разговор путина с жителями страны. премьер-министр общался с гражданами в прямом эфире телеканалов ""россия-1"", ""россия-24"", радиостанций ""маяк"", ""вести fm"" и ""радио россии"". главе правительства поступило 1,8 млн вопросов. за 4 часа 32 минуты путин ответил на 96 из них. большинство касались состоявшихся 4 декабря 2011 года выборов в госдуму, предстоящей президентской кампании и митингов оппозиции. на связь с главой правительства выходили девять населенных пунктов, в том числе города владивосток, мурманск, нижний тагил (свердловская область), санкт-петербург, саранск, тюмень, уфа и другие. 2013 год 25 апреля 2013 года путин провел 11-й теледиалог в прямом эфире уже в качестве президента рф. программа вновь стала называться ""прямая линия с владимиром путиным"". трансляцию вели первый канал, ""россия-1"" и ""россия-24"", радиостанции ""маяк"", ""вести fm"" и ""радио россии"". за четыре дня работы телефонного центра президенту было задано 3 млн вопросов. глава государства установил рекорд по продолжительности своей прямой линии - 4 часа 47 минут, ответил на 85 вопросов. подавляющее большинство касалось положения дел в экономике и социальной сфере. прямые включения велись из липецка, новосибирска, поселка новошахтинский (приморский край), деревни прохоровка (белгородская область), санкт-петербурга и сочи (краснодарский край). 2014 год 17 апреля 2014 года в прямом эфире первого канала, телеканалов ""россия-1"" и ""россия-24"", радиостанций ""маяк"", ""вести fm"" и ""радио россии"" транслировалась ""прямая линия с владимиром путиным"". передача вызвала особый интерес зрителей в связи с воссоединением крыма с россией. впервые за всю ее историю появилась возможность задать президенту видеовопрос через сайт. в таком формате обратился к путину экс-сотрудник цру эдвард сноуден, скрывающийся в россии от преследования американских спецслужб. всего в ходе подготовки к эфиру главе государства поступило 2,9 млн вопросов. за время передачи президент ответил на 81 из них. продолжительность программы составила 3 часа 54 минуты. жителей россии интересовали темы, связанные с последствиями санкций запада против рф, отношениями с украиной. кроме того, много вопросов было посвящено проблемам социальной сферы, а также прав и свобод человека. в ходе передачи были организованы прямые включения из четырех населенных пунктов: село бельго (хабаровский край), село новое (еврейская автономная область), севастополя, сочи. также вопросы главе государства через телемост с берлином задавали иностранные эксперты - члены валдайского клуба. 2015 год 16 апреля 2015 года в прямом эфире первого канала, телеканалов ""россия-1"", ""россия-24"", радиостанций ""маяк"", ""вести fm"" и ""радио россии"" вышла программа ""прямая линия с владимиром путиным"". всего в рамках подготовки к эфиру главе государства поступило 3,25 млн вопросов. за время прямой линии путин успел ответить на 74 из них. программа продолжалась в течение 3 часов 57 минут. примерно пятая часть вопросов была посвящена государственной политике и военной безопасности, чуть меньше - ситуации на украине и социальному обеспечению российских граждан. по международной тематике было задано порядка десяти вопросов. за время эфира было организовано шесть прямых включений из иркутска, костромской, московской и ростовской областей, а также с космодрома восточный (амурская область) и из детского лагеря ""артек"" (крым). 2016 год 14 апреля 2016 года 14-я прямая линия вышла в прямом эфире первого канала, телеканалов ""россия-1"", ""россия-24"", радиостанций ""маяк"", ""вести fm"" и ""радио россии"". она продолжалась 3 часа 40 минут. в ходе подготовки к эфиру поступило, по словам пресс-секретаря президента дмитрия пескова, более 2,8 млн обращений. за время программы путин ответил на 80 из них. нововведением программы стали видеовопросы и вопросы, заданные через социальную сеть ""вконтакте"". главу государства спрашивали о текущем состоянии экономики, росте цен на продукты и лекарства, инфляции, задержке заработной платы, ситуации в сирии, отношениях москвы и анкары, реализации минских соглашений, публикации ""панамского архива"", перспективах возобновления авиасообщения с египтом и другими. в ходе прямой линии были проведены включения из воронежской, сахалинской областей, из томска, тулы, а также с острова тузла в керченском проливе. 2017 год 15 июня 2017 года путин в ходе 15-й прямой линии ответил на 68 вопросов за 3 часа 56 минут (всего было задано 2,6 млн вопросов). впервые видеовопросы президенту задавали через социальную сеть ""одноклассники"". трансляция программы велась в эфире первого канала, телеканалов ""россия-1"", ""россия-24"", а также радиостанций ""маяк"", ""вести fm"" и ""радио россии"". в ходе эфира состоялось 11 прямых включений из регионов, в частности из г. апатиты (мурманская область), г. балашиха (московская область), с. краснокумское (ставропольский край), аэропорта платов (ростов-на-дону) и др. во время передачи владимир путин заявил, что рецессия в российской экономике преодолена, страна перешла к периоду роста. он также ответил на вопросы о возможном повышении пенсионного возраста в рф, ситуации в жилищно-коммунальной сфере, проблеме со свалками в московской области и другие. президента спрашивали о санкциях запада против россии, операции вооруженных сил рф в сирии, отношениях с сша. владимир путин также ответил на вопрос о своей семье, рассказав, что недавно во второй раз стал дедушкой. 2018 год 7 июня 2018 года 16-я прямая линия с президентом рф продолжалась 4 часа 20 минут. за это время путин ответил на 79 вопросов (всего в период подготовки к передаче их поступило 2,7 млн). трансляция программы велась в эфире первого канала, телеканалов ""россия-1"", ""россия-24"", отр, радиостанций ""маяк"", ""вести fm"" и ""радио россии"". во время телеэфира состоялось девять прямых включений, в том числе из иваново, с. левокумка ставропольского края, санкт-петербурга, а также из курчатовского института в москве, с подходов к крымскому мосту и др. президент рф ответил на вопросы о ситуации на украине, отношениях рф с западом, конфликте в сирии и о положении русскоязычного населения в странах балтии. речь также шла о повышении пенсионного возраста, зарплатах бюджетников, доступности образования и медицинского обслуживания, судьбе обманутых дольщиков и других. 2019 год 20 июня 2019 года путин в ходе очередной прямой линии за 4 часа 8 минут ответил на 81 вопрос жителей россии (всего поступило 2,2 млн вопросов). программу транслировали телеканалы ""первый"", ""россия-1"", ""россия-24"", нтв, отр, ""мир"", радиостанции ""маяк"", ""вести fm"" и ""радио россии"". состоялось девять прямых включений и репортажей из российских регионов, в том числе из села ботлих (чеченская республика), города горно-алтайска, краснодара и других. в ходе программы обсуждались вопросы реализации нацпроектов, уровень заработной платы в рф, доступность здравоохранения, ""мусорная реформа"" и другие. глава государства высказался за усиление контроля за работой антинаркотических подразделений полиции и против либерализации законодательства в сфере хранения и распространения наркотиков. касаясь внешнеполитической сферы, путин говорил о проблемах урегулирования конфликта на украине, об упрощении процедуры получения российского гражданства для жителей этой страны, взаимоотношениях россии с сша и другом. 2021 год 30 июня 2021 года прямая линия главы государства транслировалась в прямом эфире первого канала, телеканалов ""россия-1"", ""россия-24"", нтв, отр, ""мир"", а также радиостанций ""маяк"", ""вести fm"" и ""радио россии"". за 3 часа 42 минуты путин ответил на 70 вопросов (всего в адрес программы поступило 2,29 млн вопросов). в ходе программы обсуждались темы вакцинации от коронавирусной инфекции, социальной поддержки граждан, роста цен на продукты питания и стройматериалы, газификации в регионах, проблем жкх. кроме того, российского президента спрашивали об отношениях с украиной, переговорах с президентом сша джозефом байденом, возможной блокировке зарубежных социальных сетей в рф.  ",tass,тассдосье  декабря  года состоится эфир телепрограммы итоги года с владимиром путиным в формате совмещенной прямой линии и большой прессконференции главы государства президент рф в прямом эфире подведет итоги  года и ответит на вопросы журналистов и жителей россии тасс подготовил материал о продолжительности числе вопросов и основных темах прямых линий впервые такой формат общения президента с гражданами на общенациональных теле и радиоканалах был организован  декабря  года в дальнейшем прямые линии проходили ежегодно за исключением    и  года  год первая прямая линия состоялась  декабря  года трансляция велась в телеэфире каналов орт и ртр а также на радио маяк всего поступило более  тыс вопросов теледиалог продолжался  часа  минут за это время президент рф ответил на  вопросов на прямой видеосвязи с кремлем находились  городов и регионов страны  владивосток екатеринбург казань калининград краснодарский край москва мурманск новосибирск ростовнадону санктпетербург чаще всего поднимались проблемы экономики и предпринимательства бюрократии образования науки и культуры  год  декабря  года прямые трансляции на первом канале телеканале россия в эфире радиостанций маяк и радио россии велись из башкирии владикавказа дубны московская область калининграда краснодарского края нижегородской области ставрополья хабаровска челябинска а также из столицы таджикистана душанбе было получено более  млн вопросов путин за  часа  минут ответил на  из них в основном граждан интересовали проблемы социального обеспечения в частности реформа жилищнокоммунального хозяйства  год  декабря  года в ходе прямой линии путин ответил на  вопросов что заняло  часа  минут программа шла в прямом эфире первого канала телеканала россия радиостанций маяк и радио россии за время подготовки к эфиру поступило более  млн вопросов трансляция велась из  населенных пунктов среди которых были города выборг ленинградская область красноярск мичуринск тамбовская область нижний новгород сургут хантымансийский автономный округ и другие а также с территории российской авиабазы в городе канте киргизия  год был предвыборным и самым популярным стал вопрос о возможном выдвижении путина на новый президентский срок на втором месте по популярности были вопросы связанные с социальной защитой населения  год  сентября  года общение президента рф с россиянами транслировалось в прямом эфире телеканала россия первого канала радиостанций маяк и радио россии в общей сложности во время подготовки к прямой линии поступило  млн вопросов по телефону и  тыс через интернет а также около  тыс в виде смссообщений принимались впервые за  часа  минуты путин успел ответить на  вопросов передвижные телестанции были размещены в волгограде селе головчино белгородская область грозном городе энгельсе саратовская область южносахалинске а также в риге латвия и других подавляющее большинство обращений касались экономических проблем и социальной сферы  год  октября  года глава государства в пятый раз общался с гражданами страны в прямом эфире первого канала каналов россия вести радиостанций маяк и радио россии на прямую линию поступило  млн  тыс вопросов теледиалог продолжался  часа  минуты и за это время путин ответил на  вопросов телекамеры были установлены в  населенных пунктах в том числе в городах балтийске калининградская область кондопоге карелия набережных челнах татарстан находке приморский край севастополе и других основными темами беседы стали социальная политика нацпроекты межэтнические отношения экология и внешняя политика  год  октября  года прямую линию транслировали первый канал телеканалы россия вести и радиостанции радио россии и маяк в ходе программы продолжительностью  часа  минут путин ответил на  из поступивших  млн вопросов телекамеры были установлены в  населенных пунктах в числе которых были селе ботлих дагестан владивосток екатеринбург новосибирск плесецк архангельская область селе подколодновка воронежская область а также городе актау казахстан и других большинство вопросов касались проблем жилищнокоммунального комплекса и социальной защиты населения  год  декабря  года состоялся седьмой прямой эфир с путиным в качестве премьерминистра на телеканалах россия и вести и на радиостанциях маяк и радио россии программа носила название разговор с владимиром путиным в ходе подготовки к эфиру главе кабинета министров было задано  млн вопросов большинство из них вновь касались жилищного хозяйства и социальной политики правительства эфир длился более трех часов путин ответил на  вопроса во время передачи проходили прямые включения из шести населенных пунктов среди которых были города нальчик саратов северодвинск хабаровск и другие  год  декабря  года в эфире телеканалов россия вести радиостанций маяк и радио россии прошла специальная программа разговор с путиным продолжение было задано  млн вопросов за четыре часа премьер успел ответить на  из них прямые включения были организованы из восьми городов россии в том числе из городов комсомольскнаамуре хабаровский край пикалево ленинградская область тольятти самарская область и других больше всего обращений было связано с проблемами социальной защиты населения за несколько дней до эфира  ноября  года в поезде невский экспресс был совершен теракт и путин посвятил часть своего выступления проблеме противодействия терроризму  год девятый прямой эфир состоялся  декабря  года трансляцию вели телеканалы россия россия радиостанции маяк вести fm и радио россии на прямую линию поступило  млн обращений в виде телефонных звонков смс и писем на сайт программы путин общался в прямом эфире  часа  минут во время разговора премьер успел ответить на  вопросов в ходе передачи было осуществлено семь включений из различных населенных пунктов россии среди которых были астрахань село иватино владимирская область город новокузнецк кемеровская область чебоксары и другие наибольшее число вопросов было посвящено жилищным и иным социальным проблемам  год  декабря  года состоялся десятый разговор путина с жителями страны премьерминистр общался с гражданами в прямом эфире телеканалов россия россия радиостанций маяк вести fm и радио россии главе правительства поступило  млн вопросов за  часа  минуты путин ответил на  из них большинство касались состоявшихся  декабря  года выборов в госдуму предстоящей президентской кампании и митингов оппозиции на связь с главой правительства выходили девять населенных пунктов в том числе города владивосток мурманск нижний тагил свердловская область санктпетербург саранск тюмень уфа и другие  год  апреля  года путин провел й теледиалог в прямом эфире уже в качестве президента рф программа вновь стала называться прямая линия с владимиром путиным трансляцию вели первый канал россия и россия радиостанции маяк вести fm и радио россии за четыре дня работы телефонного центра президенту было задано  млн вопросов глава государства установил рекорд по продолжительности своей прямой линии   часа  минут ответил на  вопросов подавляющее большинство касалось положения дел в экономике и социальной сфере прямые включения велись из липецка новосибирска поселка новошахтинский приморский край деревни прохоровка белгородская область санктпетербурга и сочи краснодарский край  год  апреля  года в прямом эфире первого канала телеканалов россия и россия радиостанций маяк вести fm и радио россии транслировалась прямая линия с владимиром путиным передача вызвала особый интерес зрителей в связи с воссоединением крыма с россией впервые за всю ее историю появилась возможность задать президенту видеовопрос через сайт в таком формате обратился к путину экссотрудник цру эдвард сноуден скрывающийся в россии от преследования американских спецслужб всего в ходе подготовки к эфиру главе государства поступило  млн вопросов за время передачи президент ответил на  из них продолжительность программы составила  часа  минуты жителей россии интересовали темы связанные с последствиями санкций запада против рф отношениями с украиной кроме того много вопросов было посвящено проблемам социальной сферы а также прав и свобод человека в ходе передачи были организованы прямые включения из четырех населенных пунктов село бельго хабаровский край село новое еврейская автономная область севастополя сочи также вопросы главе государства через телемост с берлином задавали иностранные эксперты  члены валдайского клуба  год  апреля  года в прямом эфире первого канала телеканалов россия россия радиостанций маяк вести fm и радио россии вышла программа прямая линия с владимиром путиным всего в рамках подготовки к эфиру главе государства поступило  млн вопросов за время прямой линии путин успел ответить на  из них программа продолжалась в течение  часов  минут примерно пятая часть вопросов была посвящена государственной политике и военной безопасности чуть меньше  ситуации на украине и социальному обеспечению российских граждан по международной тематике было задано порядка десяти вопросов за время эфира было организовано шесть прямых включений из иркутска костромской московской и ростовской областей а также с космодрома восточный амурская область и из детского лагеря артек крым  год  апреля  года я прямая линия вышла в прямом эфире первого канала телеканалов россия россия радиостанций маяк вести fm и радио россии она продолжалась  часа  минут в ходе подготовки к эфиру поступило по словам пресссекретаря президента дмитрия пескова более  млн обращений за время программы путин ответил на  из них нововведением программы стали видеовопросы и вопросы заданные через социальную сеть вконтакте главу государства спрашивали о текущем состоянии экономики росте цен на продукты и лекарства инфляции задержке заработной платы ситуации в сирии отношениях москвы и анкары реализации минских соглашений публикации панамского архива перспективах возобновления авиасообщения с египтом и другими в ходе прямой линии были проведены включения из воронежской сахалинской областей из томска тулы а также с острова тузла в керченском проливе  год  июня  года путин в ходе й прямой линии ответил на  вопросов за  часа  минут всего было задано  млн вопросов впервые видеовопросы президенту задавали через социальную сеть одноклассники трансляция программы велась в эфире первого канала телеканалов россия россия а также радиостанций маяк вести fm и радио россии в ходе эфира состоялось  прямых включений из регионов в частности из г апатиты мурманская область г балашиха московская область с краснокумское ставропольский край аэропорта платов ростовнадону и др во время передачи владимир путин заявил что рецессия в российской экономике преодолена страна перешла к периоду роста он также ответил на вопросы о возможном повышении пенсионного возраста в рф ситуации в жилищнокоммунальной сфере проблеме со свалками в московской области и другие президента спрашивали о санкциях запада против россии операции вооруженных сил рф в сирии отношениях с сша владимир путин также ответил на вопрос о своей семье рассказав что недавно во второй раз стал дедушкой  год  июня  года я прямая линия с президентом рф продолжалась  часа  минут за это время путин ответил на  вопросов всего в период подготовки к передаче их поступило  млн трансляция программы велась в эфире первого канала телеканалов россия россия отр радиостанций маяк вести fm и радио россии во время телеэфира состоялось девять прямых включений в том числе из иваново с левокумка ставропольского края санктпетербурга а также из курчатовского института в москве с подходов к крымскому мосту и др президент рф ответил на вопросы о ситуации на украине отношениях рф с западом конфликте в сирии и о положении русскоязычного населения в странах балтии речь также шла о повышении пенсионного возраста зарплатах бюджетников доступности образования и медицинского обслуживания судьбе обманутых дольщиков и других  год  июня  года путин в ходе очередной прямой линии за  часа  минут ответил на  вопрос жителей россии всего поступило  млн вопросов программу транслировали телеканалы первый россия россия нтв отр мир радиостанции маяк вести fm и радио россии состоялось девять прямых включений и репортажей из российских регионов в том числе из села ботлих чеченская республика города горноалтайска краснодара и других в ходе программы обсуждались вопросы реализации нацпроектов уровень заработной платы в рф доступность здравоохранения мусорная реформа и другие глава государства высказался за усиление контроля за работой антинаркотических подразделений полиции и против либерализации законодательства в сфере хранения и распространения наркотиков касаясь внешнеполитической сферы путин говорил о проблемах урегулирования конфликта на украине об упрощении процедуры получения российского гражданства для жителей этой страны взаимоотношениях россии с сша и другом  год  июня  года прямая линия главы государства транслировалась в прямом эфире первого канала телеканалов россия россия нтв отр мир а также радиостанций маяк вести fm и радио россии за  часа  минуты путин ответил на  вопросов всего в адрес программы поступило  млн вопросов в ходе программы обсуждались темы вакцинации от коронавирусной инфекции социальной поддержки граждан роста цен на продукты питания и стройматериалы газификации в регионах проблем жкх кроме того российского президента спрашивали об отношениях с украиной переговорах с президентом сша джозефом байденом возможной блокировке зарубежных социальных сетей в рф  ,Ответственное потребление
